epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3856,1.32783,4.08915,1.46927,0.48653,0.23387,0.25631,0.17703,1.06933,2.62427,1.18998,0.000110234,0.000110234,0.000110234
2,37.7186,1.18744,2.89185,1.35952,0.58259,0.55665,0.65362,0.44342,1.10949,1.55671,1.26805,0.000216854,0.000216854,0.000216854
3,54.2795,1.14188,2.28913,1.31775,0.71836,0.69422,0.76719,0.53514,1.08512,1.34757,1.21743,0.000319078,0.000319078,0.000319078
4,70.9731,1.07465,1.98593,1.28197,0.73401,0.85325,0.85953,0.58427,1.0785,1.04905,1.2252,0.00031322,0.00031322,0.00031322
5,87.5288,1.05553,1.77328,1.25785,0.84691,0.8042,0.91151,0.68757,0.94476,0.98078,1.12454,0.000306626,0.000306626,0.000306626
6,103.946,1.02323,1.62048,1.23777,0.8293,0.91321,0.91134,0.63891,1.11924,0.88979,1.2675,0.000300033,0.000300033,0.000300033
7,120.383,0.99151,1.50508,1.21153,0.82242,0.91034,0.93689,0.69225,0.98543,0.81836,1.14697,0.00029344,0.00029344,0.00029344
8,136.712,0.96683,1.42393,1.18905,0.87771,0.93747,0.95944,0.72376,0.97606,0.74211,1.14368,0.000286846,0.000286846,0.000286846
9,153.605,0.95135,1.35525,1.18827,0.90899,0.91348,0.97021,0.72472,0.95627,0.69629,1.14703,0.000280253,0.000280253,0.000280253
10,169.18,0.94401,1.30516,1.18767,0.89733,0.96832,0.97603,0.77086,0.83547,0.63337,1.06443,0.000273659,0.000273659,0.000273659
11,185.039,0.92439,1.26312,1.16885,0.87594,0.94866,0.9679,0.72852,0.96796,0.72696,1.12588,0.000267066,0.000267066,0.000267066
12,200.136,0.92729,1.23463,1.16795,0.87288,0.93495,0.97019,0.73865,0.92498,0.70262,1.1066,0.000260473,0.000260473,0.000260473
13,215.654,0.89913,1.16972,1.15666,0.94485,0.93746,0.98377,0.74483,0.94437,0.61091,1.12115,0.000253879,0.000253879,0.000253879
14,230.99,0.8788,1.09966,1.13453,0.94658,0.91983,0.98605,0.76438,0.87249,0.62262,1.08169,0.000247286,0.000247286,0.000247286
15,246.236,0.89269,1.10876,1.15067,0.91914,0.95933,0.98803,0.79302,0.79951,0.57958,1.03745,0.000240692,0.000240692,0.000240692
16,261.671,0.86145,1.02963,1.13166,0.92176,0.94522,0.9868,0.75255,0.91704,0.60692,1.1037,0.000234099,0.000234099,0.000234099
17,276.697,0.85828,1.04837,1.12759,0.92082,0.97043,0.98854,0.7706,0.85794,0.5305,1.0595,0.000227506,0.000227506,0.000227506
18,292.452,0.85678,1.02985,1.12336,0.92103,0.93048,0.98205,0.73578,0.9588,0.62369,1.11416,0.000220912,0.000220912,0.000220912
19,308.146,0.84977,1.00065,1.11855,0.89323,0.9693,0.98434,0.77798,0.86821,0.55894,1.05741,0.000214319,0.000214319,0.000214319
20,324.305,0.81625,0.96791,1.10546,0.94448,0.94396,0.99026,0.78216,0.86001,0.51705,1.05634,0.000207725,0.000207725,0.000207725
21,339.998,0.81544,0.9323,1.10083,0.94741,0.96545,0.98887,0.77944,0.86182,0.52252,1.06576,0.000201132,0.000201132,0.000201132
22,354.628,0.81113,0.93402,1.10155,0.94553,0.96938,0.99214,0.74494,0.97492,0.54785,1.12553,0.000194539,0.000194539,0.000194539
23,369.872,0.80682,0.9051,1.09478,0.94728,0.95921,0.98558,0.76277,0.88339,0.52639,1.0747,0.000187945,0.000187945,0.000187945
24,384.886,0.79355,0.89089,1.09056,0.95851,0.986,0.995,0.77148,0.89417,0.48739,1.07346,0.000181352,0.000181352,0.000181352
25,400.227,0.78594,0.8709,1.08816,0.94233,0.97275,0.98929,0.75846,0.89835,0.51069,1.08245,0.000174758,0.000174758,0.000174758
26,415.492,0.77655,0.85362,1.08329,0.9258,0.9735,0.98968,0.75143,0.93115,0.51654,1.10978,0.000168165,0.000168165,0.000168165
27,431.278,0.76649,0.82999,1.06895,0.95254,0.96997,0.99172,0.76034,0.91367,0.50969,1.09853,0.000161572,0.000161572,0.000161572
28,447.818,0.76929,0.82289,1.07826,0.93881,0.97499,0.99107,0.78212,0.84636,0.48719,1.05275,0.000154978,0.000154978,0.000154978
29,464.135,0.74964,0.8086,1.06703,0.92575,0.97007,0.98513,0.7335,0.99369,0.53243,1.14586,0.000148385,0.000148385,0.000148385
30,480.249,0.75749,0.79229,1.07536,0.95206,0.96538,0.99373,0.77254,0.86386,0.46807,1.05435,0.000141791,0.000141791,0.000141791
31,496.425,0.7523,0.77137,1.06503,0.95171,0.96848,0.99323,0.78163,0.85298,0.45605,1.0489,0.000135198,0.000135198,0.000135198
32,512.53,0.73285,0.77003,1.05367,0.94237,0.97605,0.99096,0.76854,0.89195,0.47892,1.08614,0.000128605,0.000128605,0.000128605
33,528.584,0.724,0.74796,1.05408,0.96495,0.97237,0.98876,0.77227,0.89447,0.45565,1.08612,0.000122011,0.000122011,0.000122011
34,544.796,0.73028,0.7567,1.05688,0.96452,0.96635,0.9919,0.77425,0.87542,0.44686,1.07013,0.000115418,0.000115418,0.000115418
35,561.339,0.72769,0.74249,1.0521,0.97142,0.96801,0.99163,0.77734,0.85562,0.43958,1.06632,0.000108824,0.000108824,0.000108824
36,577.752,0.71199,0.71425,1.04054,0.97699,0.96054,0.99033,0.76712,0.87975,0.45205,1.06885,0.000102231,0.000102231,0.000102231
37,594.234,0.70679,0.71167,1.04113,0.96468,0.9601,0.99299,0.76381,0.92033,0.45177,1.08597,9.56376e-05,9.56376e-05,9.56376e-05
38,610.592,0.70325,0.70197,1.04137,0.95795,0.96763,0.99208,0.77674,0.87586,0.44939,1.0767,8.90442e-05,8.90442e-05,8.90442e-05
39,626.907,0.6962,0.70191,1.03746,0.96633,0.95716,0.99333,0.77645,0.8693,0.45044,1.06502,8.24508e-05,8.24508e-05,8.24508e-05
40,643.206,0.68654,0.68187,1.03212,0.9448,0.9593,0.99009,0.78382,0.84924,0.446,1.05019,7.58574e-05,7.58574e-05,7.58574e-05
41,674.991,0.54184,0.44624,0.94313,0.95446,0.97107,0.99132,0.78775,0.84515,0.44304,1.06018,6.9264e-05,6.9264e-05,6.9264e-05
42,691.252,0.52517,0.42067,0.93175,0.95595,0.97441,0.99254,0.77074,0.90382,0.44646,1.08589,6.26706e-05,6.26706e-05,6.26706e-05
43,707.484,0.51513,0.41007,0.92968,0.94044,0.98071,0.99308,0.78439,0.84468,0.43701,1.05158,5.60772e-05,5.60772e-05,5.60772e-05
44,723.917,0.50254,0.40203,0.92293,0.95095,0.97475,0.9926,0.77428,0.87668,0.43186,1.06686,4.94838e-05,4.94838e-05,4.94838e-05
45,739.306,0.50123,0.39645,0.92261,0.96123,0.9677,0.99365,0.78719,0.86286,0.42064,1.05869,4.28904e-05,4.28904e-05,4.28904e-05
46,755.445,0.4897,0.38794,0.91724,0.96437,0.97834,0.99429,0.78615,0.85951,0.41117,1.05798,3.6297e-05,3.6297e-05,3.6297e-05
47,771.203,0.48155,0.38497,0.91297,0.96983,0.98875,0.995,0.78378,0.86646,0.4057,1.06837,2.97036e-05,2.97036e-05,2.97036e-05
48,786.954,0.47636,0.38021,0.90665,0.95732,0.98861,0.99415,0.79261,0.83006,0.40614,1.0461,2.31102e-05,2.31102e-05,2.31102e-05
49,802.807,0.46724,0.36944,0.89688,0.95372,0.98816,0.99429,0.78972,0.85243,0.40761,1.06016,1.65168e-05,1.65168e-05,1.65168e-05
50,818.842,0.45856,0.36615,0.90113,0.95848,0.98433,0.99362,0.78699,0.85874,0.40655,1.0646,9.9234e-06,9.9234e-06,9.9234e-06
