epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.993,1.27042,4.44969,1.43166,0.06615,0.12773,0.05799,0.05131,0.88247,4.34824,1.05626,0.000108735,0.000108735,0.000108735
2,255.659,1.11038,3.78044,1.27961,0.30189,0.33726,0.18263,0.13641,0.83441,3.53031,1.032,0.000176227,0.000176227,0.000176227
3,383.037,1.07858,3.2098,1.26467,0.41627,0.33135,0.2667,0.20642,0.83212,3.22636,1.05767,0.000199764,0.000199764,0.000199764
4,506.582,1.03873,2.88798,1.24165,0.47346,0.42123,0.39635,0.31201,0.84508,2.70315,1.08445,0.000135198,0.000135198,0.000135198
5,628.462,1.03413,2.73094,1.24684,0.51711,0.52949,0.46341,0.36384,0.80175,2.42264,1.06826,6.9264e-05,6.9264e-05,6.9264e-05
