epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,628.628,0.74252,0.62719,1.09527,0.94679,0.95298,0.9848,0.81619,0.72985,0.44426,1.16554,0.0048025,0.0048025,0.0048025
44,642.116,0.75576,0.64216,1.11442,0.94829,0.95229,0.98756,0.80707,0.74716,0.43964,1.1722,0.00467875,0.00467875,0.00467875
45,656.154,0.74921,0.63196,1.11465,0.95603,0.94925,0.98715,0.80602,0.74608,0.43875,1.17951,0.004555,0.004555,0.004555
46,670.098,0.72966,0.66683,1.09453,0.93643,0.95584,0.98364,0.81979,0.7148,0.42511,1.16252,0.00443125,0.00443125,0.00443125
47,684.24,0.75842,0.63397,1.11313,0.94485,0.94323,0.98748,0.8025,0.77588,0.45374,1.2044,0.0043075,0.0043075,0.0043075
48,698.127,0.72563,0.60875,1.10028,0.95001,0.9479,0.9883,0.81724,0.73414,0.41798,1.16893,0.00418375,0.00418375,0.00418375
49,712.077,0.71779,0.61214,1.08994,0.9567,0.96444,0.99303,0.82465,0.72505,0.3895,1.1627,0.00406,0.00406,0.00406
50,725.837,0.69353,0.58147,1.08146,0.94309,0.96695,0.99287,0.82328,0.72844,0.41107,1.15764,0.00393625,0.00393625,0.00393625
51,739.788,0.70423,0.59262,1.08922,0.95274,0.97045,0.99435,0.82781,0.71339,0.37877,1.13677,0.0038125,0.0038125,0.0038125
52,754.287,0.69299,0.58098,1.07877,0.96267,0.96217,0.99338,0.82992,0.71285,0.38533,1.15194,0.00368875,0.00368875,0.00368875
53,768.377,0.68705,0.58198,1.07996,0.956,0.95229,0.98947,0.82173,0.72559,0.38857,1.1559,0.003565,0.003565,0.003565
54,782.4,0.68994,0.55602,1.08362,0.95088,0.96928,0.99049,0.82207,0.70752,0.38236,1.14969,0.00344125,0.00344125,0.00344125
55,796.437,0.68265,0.54669,1.06947,0.97877,0.9781,0.99391,0.82543,0.72498,0.3589,1.16343,0.0033175,0.0033175,0.0033175
56,810.483,0.64754,0.5254,1.06049,0.96743,0.96837,0.99366,0.82531,0.72041,0.3873,1.16515,0.00319375,0.00319375,0.00319375
57,824.555,0.63623,0.52559,1.04166,0.93297,0.95654,0.99145,0.82144,0.7208,0.4058,1.16217,0.00307,0.00307,0.00307
58,838.828,0.68353,0.56613,1.08248,0.95222,0.95746,0.99263,0.82642,0.72602,0.4012,1.16105,0.00294625,0.00294625,0.00294625
59,853.283,0.63699,0.50716,1.05508,0.96091,0.97731,0.99375,0.83516,0.70464,0.34809,1.15087,0.0028225,0.0028225,0.0028225
60,866.532,0.62925,0.51075,1.04233,0.95823,0.97611,0.99038,0.84074,0.69759,0.34649,1.1411,0.00269875,0.00269875,0.00269875
61,879.572,0.63023,0.50574,1.04901,0.95896,0.9786,0.99228,0.83688,0.6848,0.35894,1.14293,0.002575,0.002575,0.002575
62,892.765,0.62688,0.49418,1.05037,0.95264,0.96419,0.98689,0.82104,0.70145,0.37827,1.1439,0.00245125,0.00245125,0.00245125
63,905.804,0.5988,0.47783,1.04808,0.97971,0.97799,0.99219,0.84045,0.68812,0.3325,1.13144,0.0023275,0.0023275,0.0023275
64,918.864,0.60437,0.47749,1.03445,0.97876,0.97732,0.99209,0.83564,0.7028,0.32932,1.14647,0.00220375,0.00220375,0.00220375
65,932.006,0.60519,0.48388,1.03953,0.97359,0.97936,0.995,0.83265,0.69699,0.32583,1.15521,0.00208,0.00208,0.00208
66,945.145,0.59919,0.47041,1.03166,0.96292,0.98256,0.99311,0.83665,0.69586,0.33099,1.15783,0.00195625,0.00195625,0.00195625
67,958.145,0.57888,0.45427,1.02811,0.96182,0.97702,0.99162,0.83509,0.69495,0.34077,1.14944,0.0018325,0.0018325,0.0018325
68,971.226,0.60731,0.48239,1.04714,0.97487,0.96935,0.99282,0.8373,0.69764,0.33385,1.15894,0.00170875,0.00170875,0.00170875
69,984.207,0.57034,0.47969,1.01714,0.97348,0.96844,0.99329,0.8365,0.68596,0.33652,1.13656,0.001585,0.001585,0.001585
70,997.243,0.56049,0.42567,1.02074,0.97219,0.96616,0.99342,0.83797,0.67417,0.32939,1.12936,0.00146125,0.00146125,0.00146125
71,1028.09,0.44001,0.26434,0.95638,0.97465,0.97531,0.99411,0.83868,0.68697,0.32073,1.14,0.0013375,0.0013375,0.0013375
72,1041.33,0.42348,0.25323,0.94482,0.97934,0.97753,0.99411,0.84436,0.67693,0.31126,1.13516,0.00121375,0.00121375,0.00121375
73,1054.45,0.41004,0.26286,0.93172,0.97595,0.97346,0.9944,0.84448,0.67637,0.31089,1.13511,0.00109,0.00109,0.00109
74,1067.54,0.40358,0.23882,0.93171,0.98339,0.98185,0.99411,0.84233,0.67734,0.30881,1.14276,0.00096625,0.00096625,0.00096625
75,1080.64,0.40741,0.23912,0.93204,0.97489,0.97813,0.99265,0.84224,0.67014,0.31319,1.13977,0.0008425,0.0008425,0.0008425
76,1093.83,0.39154,0.22993,0.92991,0.97955,0.98254,0.99411,0.84015,0.67612,0.3024,1.14425,0.00071875,0.00071875,0.00071875
77,1106.93,0.39178,0.23144,0.93143,0.97557,0.97668,0.99329,0.84007,0.68015,0.3118,1.14777,0.000595,0.000595,0.000595
78,1119.99,0.37963,0.2209,0.91742,0.97884,0.98166,0.99311,0.84489,0.66821,0.30241,1.14191,0.00047125,0.00047125,0.00047125
79,1133.03,0.36655,0.21478,0.90942,0.98308,0.98328,0.99379,0.84473,0.6699,0.29774,1.14952,0.0003475,0.0003475,0.0003475
80,1146.16,0.36946,0.22248,0.92149,0.98623,0.98358,0.99411,0.84781,0.66877,0.29571,1.14836,0.00022375,0.00022375,0.00022375
