epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0589,1.23934,4.4918,1.55279,0.02545,0.41048,0.07915,0.05791,1.15077,3.64924,1.5921,0.070411,0.00328767,0.00328767
2,40.1761,1.14524,3.40893,1.4368,0.5159,0.19216,0.28459,0.19109,1.23501,2.98752,1.67701,0.040329,0.00653907,0.00653907
3,58.8449,1.2,2.82844,1.436,0.40826,0.45632,0.43579,0.28542,1.26886,2.64469,1.64348,0.0101646,0.00970797,0.00970797
4,77.6554,1.24687,2.62169,1.4466,0.42464,0.25531,0.27626,0.16632,1.56103,3.96791,1.88717,0.00962875,0.00962875,0.00962875
5,96.4111,1.22776,2.38606,1.42363,0.53232,0.42915,0.49369,0.3301,1.26825,2.27248,1.62447,0.009505,0.009505,0.009505
6,114.686,1.19071,2.14352,1.36524,0.54999,0.7667,0.73049,0.52831,1.0821,1.47745,1.40271,0.00938125,0.00938125,0.00938125
7,132.944,1.16723,1.97445,1.35268,0.7238,0.65962,0.75253,0.54687,1.10923,1.5262,1.4134,0.0092575,0.0092575,0.0092575
8,151.238,1.13795,1.776,1.30478,0.85729,0.75426,0.90149,0.66664,0.96606,0.97568,1.28681,0.00913375,0.00913375,0.00913375
9,169.494,1.09371,1.67915,1.30261,0.75758,0.71527,0.81998,0.58062,1.19571,1.33134,1.49459,0.00901,0.00901,0.00901
10,187.741,1.09629,1.61675,1.30212,0.81552,0.78709,0.9005,0.65299,1.12652,1.1629,1.41652,0.00888625,0.00888625,0.00888625
11,205.948,1.08904,1.48667,1.26934,0.7661,0.81593,0.87045,0.61863,1.06009,1.00449,1.34802,0.0087625,0.0087625,0.0087625
12,224.233,1.0707,1.43901,1.26984,0.78706,0.86241,0.92955,0.70283,0.9101,0.85323,1.22183,0.00863875,0.00863875,0.00863875
13,242.454,1.06563,1.3786,1.2618,0.82232,0.76938,0.88324,0.68013,0.9606,0.95516,1.2781,0.008515,0.008515,0.008515
14,260.799,1.02575,1.28094,1.23525,0.86529,0.87408,0.9449,0.72683,0.94655,0.8165,1.24587,0.00839125,0.00839125,0.00839125
15,279.084,1.01663,1.24841,1.22604,0.90382,0.90833,0.9714,0.74813,0.92589,0.71391,1.21803,0.0082675,0.0082675,0.0082675
16,297.303,0.98472,1.1596,1.20621,0.86904,0.91571,0.96885,0.75539,0.88014,0.75732,1.19447,0.00814375,0.00814375,0.00814375
17,315.48,0.98099,1.15578,1.20892,0.84656,0.90002,0.95221,0.723,0.91246,0.76999,1.22727,0.00802,0.00802,0.00802
18,333.745,0.97024,1.09981,1.189,0.86555,0.91695,0.96557,0.75152,0.85669,0.66195,1.19633,0.00789625,0.00789625,0.00789625
19,352.023,0.97426,1.0939,1.19762,0.90584,0.90965,0.95656,0.74225,0.86504,0.64409,1.19849,0.0077725,0.0077725,0.0077725
20,370.362,0.93932,1.02727,1.17922,0.93683,0.9056,0.97877,0.74922,0.88851,0.61487,1.21341,0.00764875,0.00764875,0.00764875
21,388.712,0.96098,1.03375,1.19112,0.90227,0.97489,0.98829,0.7697,0.86423,0.55515,1.18576,0.007525,0.007525,0.007525
22,406.985,0.93905,0.98408,1.17564,0.92179,0.9442,0.98248,0.77866,0.84769,0.61034,1.1894,0.00740125,0.00740125,0.00740125
23,425.124,0.92392,0.97626,1.16654,0.92854,0.96486,0.97749,0.7691,0.85032,0.55601,1.17748,0.0072775,0.0072775,0.0072775
24,443.416,0.90809,0.95704,1.16854,0.94617,0.95117,0.98963,0.79451,0.80253,0.52864,1.14093,0.00715375,0.00715375,0.00715375
25,461.644,0.91534,0.92934,1.16417,0.93778,0.96332,0.98788,0.77627,0.86029,0.52422,1.17739,0.00703,0.00703,0.00703
26,479.911,0.8889,0.90453,1.15126,0.95702,0.95958,0.99444,0.76754,0.90113,0.51378,1.20769,0.00690625,0.00690625,0.00690625
27,498.218,0.87973,0.90026,1.14554,0.94428,0.9677,0.99171,0.77354,0.86292,0.50126,1.18641,0.0067825,0.0067825,0.0067825
28,516.536,0.85985,0.86129,1.13288,0.93963,0.97762,0.98888,0.79995,0.79429,0.48023,1.14267,0.00665875,0.00665875,0.00665875
29,534.845,0.87356,0.8765,1.1409,0.91588,0.97093,0.98651,0.77379,0.87296,0.49205,1.18223,0.006535,0.006535,0.006535
30,553.497,0.85461,0.85401,1.1316,0.96172,0.93192,0.98628,0.78831,0.80702,0.48753,1.16464,0.00641125,0.00641125,0.00641125
31,571.728,0.85461,0.83097,1.12763,0.94832,0.97533,0.9932,0.80032,0.80407,0.46171,1.16351,0.0062875,0.0062875,0.0062875
32,591.204,0.8496,0.81616,1.13187,0.93677,0.96508,0.9907,0.80428,0.78175,0.46489,1.12725,0.00616375,0.00616375,0.00616375
33,611.106,0.84295,0.81763,1.12267,0.95552,0.95824,0.98536,0.79857,0.78779,0.44097,1.12187,0.00604,0.00604,0.00604
34,630.009,0.82225,0.78135,1.11055,0.97074,0.96345,0.99229,0.78684,0.80938,0.43861,1.1495,0.00591625,0.00591625,0.00591625
35,648.101,0.8155,0.76197,1.10246,0.9589,0.97998,0.98889,0.81344,0.75503,0.45881,1.11964,0.0057925,0.0057925,0.0057925
36,666.246,0.81087,0.77077,1.10563,0.95361,0.96062,0.99019,0.80912,0.75392,0.42903,1.10466,0.00566875,0.00566875,0.00566875
37,684.433,0.8065,0.76907,1.10672,0.94065,0.96116,0.99012,0.80104,0.80183,0.45955,1.15134,0.005545,0.005545,0.005545
